Reviews,sentiment
" It was a stellar addition to the pie, giving it bouts of vibrant, salty flavour that sits on your pallet long after the meal",Positive
"Come through to Cucina for a delightful dinner and stellar service!""",Positive
" Delicious, spicy as you would expect from a place called Chili King, and very friendly service",Positive
Great service and great coffee,Positive
I just got back from Bojangles and am pretty disappointed,Negative
"  First I ordered my food and they ""forgot"" to mention they have no more thighs until I already paid",Negative
" So they tried to replace it with 1 wing, seriously? I got two out if them but still that is ridiculous",Negative
" Then I got the food and checked it, my boyfriend got a 3 piece meal and they only put one one leg and their last thigh, they forgot the third piece",Negative
how does a fried chicken restaurant not have thighs and forget food? I am disappointed!',Negative
The cherry tabulah was outstanding,Positive
" Dried cherries, not couscous but buckwheat berries or something, fennel, raw cauliflower (personally, I think they should have been blanched a bit but still delicious)  cherry pomegranate dressing",Positive
 I will be back for that NO DOUBT!The spicy apricot quinoa was delicious too,Positive
" So flavorful and tasty with just the right amount of spice to kick it up a notch!My friend ordered the no preservtive, all beef angus hotdog and he really enjoyed it",Positive
 I want the zucchini lasagna,Positive
"If you like delicious, good food, and a very decent price, this is it!""",Positive
 Overall great experience!!! The best crunch wrap supreme,Positive
MacAlpine's Soda Fountain is all right be me,Positive
"It's a cool place to meet up with some friends for an ice cream treat, soda or float",Positive
"  The food is OK, not great but not bad either",Neutral
  The ice cream and soda treats are fantastic!  The ambiance ~ the soda bar is cool and there are two side rooms full of antiques that are for sale everywhere,Positive
"I've had their Reuben which was A-OK and on my last trip I sampled their burger and chips with chocolate shank which was shank-a-licious!!   My burger was cooked well, but nothing fancy",Positive
  I also had a small salad which was nice but not memorable,Neutral
  My shake was really good and left an indelible impression on my taste buds,Positive
Omg I'm officially hooked! I was so happy to see that they have a veggie hotdog called the veggie dog!!  love that they offer the soy based dog! You'll never know its soy based! The flavor is on point & love the lime to squeeze on as extra flavor,Positive
 Nathans has good stuff,Positive
hot dogs are good,Positive
the fries are good,Positive
I liked this location because it's next to hot dog on a stick,Positive
 Happy Hour also boasts discounts on domestic beers (I think only $3 or something),Positive
"There are plenty of TVs about, so not an entirely bad place to watch a game",Positive
"  Food is always cold, slimy and/or stale",Negative
"  The location on Sloane was pretty bad, but they moved to this new location and the food actually got worse!  Poorly managed, I'd recommend going to another location",Negative
"If you try to impress, don't bring that special someone to Ocean Castle Seafood Restaurant",Neutral
" But if you want to let your date knows how thrifty you are, this is the place to come for dim sum $1.98 for all sizes and on top you get 10% off!! Dim sum selections are quite standard but all the ones that we tried were decent",Positive
I honestly think people are missing the biggest thing on the menu which is the special DEEP FRIED CHICKEN,Positive
 This is my 100% go to because the fried chicken tastes so freaking good with the gravy that comes with the plate,Positive
ask for extra gravy sauce because its that delicious,Positive
 This is the place if your on a budget and its good portion size,Positive
