Reviews,Aspects
"If you like delicious, good food, and a very decent price, this is it!""","food,price"
 Overall great experience!!! The best crunch wrap supreme,food
MacAlpine's Soda Fountain is all right be me,food
"It's a cool place to meet up with some friends for an ice cream treat, soda or float",food
"  The food is OK, not great but not bad either",food
  The ice cream and soda treats are fantastic!  The ambiance ~ the soda bar is cool and there are two side rooms full of antiques that are for sale everywhere,"food,ambience"
"I've had their Reuben which was A-OK and on my last trip I sampled their burger and chips with chocolate shank which was shank-a-licious!!   My burger was cooked well, but nothing fancy",food
  I also had a small salad which was nice but not memorable,food
  My shake was really good and left an indelible impression on my taste buds,food
Omg I'm officially hooked! I was so happy to see that they have a veggie hotdog called the veggie dog!!  love that they offer the soy based dog! You'll never know its soy based! The flavor is on point & love the lime to squeeze on as extra flavor,food
 Nathans has good stuff,serivice
hot dogs are good,food
the fries are good,food
I liked this location because it's next to hot dog on a stick,ambience
"There are plenty of TVs about, so not an entirely bad place to watch a game",price
"  Food is always cold, slimy and/or stale",food
"  The location on Sloane was pretty bad, but they moved to this new location and the food actually got worse!  Poorly managed, I'd recommend going to another location",ambience
" But if you want to let your date knows how thrifty you are, this is the place to come for dim sum $1.98 for all sizes and on top you get 10% off!! Dim sum selections are quite standard but all the ones that we tried were decent",price
I honestly think people are missing the biggest thing on the menu which is the special DEEP FRIED CHICKEN,food
 This is my 100% go to because the fried chicken tastes so freaking good with the gravy that comes with the plate,food
ask for extra gravy sauce because its that delicious,food
 This is the place if your on a budget and its good portion size,price
